Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file libraylib.dll
        588  24B 0009F780 MatrixPerspective
        589  24C 0009EFD0 MatrixRotate
        590  24D 0009F1C0 MatrixRotateX
        591  24E 0009F340 MatrixRotateXYZ
        592  24F 0009F240 MatrixRotateY
        593  250 0009F2C0 MatrixRotateZ
        594  251 0009F4C0 MatrixRotateZYX
        595  252 0009F620 MatrixScale
        596  253 0009ED50 MatrixSubtract
        597  254 0009FC20 MatrixToFloatV
        598  255 0009E710 MatrixTrace
        599  256 0009EF70 MatrixTranslate
        600  257 0009E730 MatrixTranspose
        601  258 0008FD70 MaximizeWindow
        602  259 000FC400 MeasureText
        603  25A 000FC460 MeasureTextEx
        604  25B 0014B480 MemAlloc
        605  25C 0014B4A0 MemFree
        606  25D 0014B490 MemRealloc
        607  25E 0008FDB0 MinimizeWindow
        608  25F 0009B6C0 Normalize
        609  260 00091150 OpenURL
        610  261 00059FD0 PauseAudioStream
        611  262 00059F90 PauseMusicStream
        612  263 00057E10 PauseSound
        613  264 00059F40 PlayAudioStream
        614  265 0009A0A0 PlayAutomationEvent
        615  266 00059EF0 PlayMusicStream
        616  267 00057DC0 PlaySound
        617  268 00091280 PollInputEvents
        618  269 0009FCA0 QuaternionAdd
        619  26A 0009FCC0 QuaternionAddValue
        620  26B 000A0200 QuaternionCubicHermiteSpline
        621  26C 0009FF20 QuaternionDivide
        622  26D 000A0C70 QuaternionEquals
        623  26E 000A0710 QuaternionFromAxisAngle
        624  26F 000A0980 QuaternionFromEuler
        625  270 000A03F0 QuaternionFromMatrix
        626  271 000A0300 QuaternionFromVector3ToVector3
        627  272 0009FD20 QuaternionIdentity
        628  273 0009FDF0 QuaternionInvert
        629  274 0009FD30 QuaternionLength
        630  275 0009FF40 QuaternionLerp
        631  276 0009FE60 QuaternionMultiply
        632  277 0009FF60 QuaternionNlerp
        633  278 0009FD70 QuaternionNormalize
        634  279 0009FF00 QuaternionScale
        635  27A 0009FFF0 QuaternionSlerp
        636  27B 0009FCE0 QuaternionSubtract
        637  27C 0009FD00 QuaternionSubtractValue
        638  27D 000A0850 QuaternionToAxisAngle
        639  27E 000A0AB0 QuaternionToEuler
        640  27F 000A05A0 QuaternionToMatrix
        641  280 000A0BA0 QuaternionTransform
        642  281 0009B6D0 Remap
        643  282 0008FDC0 RestoreWindow
        644  283 0005A050 ResumeAudioStream
        645  284 0005A010 ResumeMusicStream
        646  285 00057E50 ResumeSound
        647  286 0014B630 SaveFileData
        648  287 0014BA20 SaveFileText
        649  288 0005A360 SeekMusicStream
        650  289 0005B150 SetAudioStreamBufferSizeDefault
        651  28A 0005B160 SetAudioStreamCallback
        652  28B 0005B0E0 SetAudioStreamPan
        653  28C 0005B010 SetAudioStreamPitch
        654  28D 0005AB90 SetAudioStreamVolume
        655  28E 0009A070 SetAutomationEventBaseFrame
        656  28F 0009A060 SetAutomationEventList
        657  290 00090B70 SetClipboardText
        658  291 00098440 SetConfigFlags
        659  292 0009A5A0 SetExitKey
        660  293 000911E0 SetGamepadMappings
        661  294 000911F0 SetGamepadVibration
        662  295 000885C0 SetGesturesEnabled
        663  296 0014B260 SetLoadFileDataCallback
        664  297 0014B280 SetLoadFileTextCallback
        665  298 00056280 SetMasterVolume
        666  299 000CB070 SetMaterialTexture
        667  29A 000CB0A0 SetModelMeshMaterial
        668  29B 00091210 SetMouseCursor
        669  29C 0009A870 SetMouseOffset
        670  29D 00091060 SetMousePosition
        671  29E 00092700 SetMouseScale
        672  29F 0005ACC0 SetMusicPan
        673  2A0 0005ABF0 SetMusicPitch
        674  2A1 0005AB30 SetMusicVolume
        675  2A2 001161B0 SetPixelColor
        676  2A3 00093200 SetRandomSeed
        677  2A4 0014B270 SetSaveFileDataCallback
        678  2A5 0014B290 SetSaveFileTextCallback
        679  2A6 00096BF0 SetShaderValue
        680  2A7 00096C80 SetShaderValueMatrix
        681  2A8 00096D30 SetShaderValueTexture
        682  2A9 00096C30 SetShaderValueV
        683  2AA 000E8250 SetShapesTexture
        684  2AB 00058080 SetSoundPan
        685  2AC 00057FB0 SetSoundPitch
        686  2AD 00057F50 SetSoundVolume
        687  2AE 00098070 SetTargetFPS
        688  2AF 000FC3F0 SetTextLineSpacing
        689  2B0 0011E0C0 SetTextureFilter
        690  2B1 0011E1E0 SetTextureWrap
        691  2B2 0014B250 SetTraceLogCallback
        692  2B3 0014B2A0 SetTraceLogLevel
        693  2B4 000907C0 SetWindowFocused
        694  2B5 00090360 SetWindowIcon
        695  2B6 000903D0 SetWindowIcons
        696  2B7 000906F0 SetWindowMaxSize
        697  2B8 00090680 SetWindowMinSize
        698  2B9 000904F0 SetWindowMonitor
        699  2BA 00090790 SetWindowOpacity
        700  2BB 000904D0 SetWindowPosition
        701  2BC 00090770 SetWindowSize
        702  2BD 0008FE00 SetWindowState
        703  2BE 000904B0 SetWindowTitle
        704  2BF 00090F80 ShowCursor
        705  2C0 0009A080 StartAutomationEventRecording
        706  2C1 0005A2F0 StopAudioStream
        707  2C2 0009A090 StopAutomationEventRecording
        708  2C3 0005A090 StopMusicStream
        709  2C4 00057E90 StopSound
        710  2C5 00091130 SwapScreenBuffer
        711  2C6 000949A0 TakeScreenshot
        712  2C7 000FD130 TextAppend
        713  2C8 000FCA90 TextCopy
        714  2C9 000FD170 TextFindIndex
        715  2CA 000FB840 TextFormat
        716  2CB 000FCDF0 TextInsert
        717  2CC 000F4C40 TextIsEqual
        718  2CD 000FCEF0 TextJoin
        719  2CE 000FBD50 TextLength
        720  2CF 000FCC90 TextReplace
        721  2D0 000FD080 TextSplit
        722  2D1 000FCAD0 TextSubtext
        723  2D2 000FD220 TextToCamel
        724  2D3 000FC9B0 TextToFloat
        725  2D4 000FC940 TextToInteger
        726  2D5 000F4BA0 TextToLower
        727  2D6 000FB580 TextToPascal
        728  2D7 000FD1A0 TextToSnake
        729  2D8 000FB620 TextToUpper
        730  2D9 0008FB70 ToggleBorderlessWindowed
        731  2DA 0008F840 ToggleFullscreen
        732  2DB 0014B2B0 TraceLog
        733  2DC 00059EC0 UnloadAudioStream
        734  2DD 00099E60 UnloadAutomationEventList
        735  2DE 000FD790 UnloadCodepoints
        736  2DF 00098E60 UnloadDirectoryFiles
        737  2E0 000990F0 UnloadDroppedFiles
        738  2E1 0014B620 UnloadFileData
        739  2E2 0014BC20 UnloadFileText
        740  2E3 000FABC0 UnloadFont
        741  2E4 000FAB50 UnloadFontData
        742  2E5 0010ECD0 UnloadImage
        743  2E6 00115C30 UnloadImageColors
        744  2E7 0011A620 UnloadImagePalette
        745  2E8 000CAEB0 UnloadMaterial
        746  2E9 000C7500 UnloadMesh
        747  2EA 000C73F0 UnloadModel
        748  2EB 000CDAD0 UnloadModelAnimation
        749  2EC 000CDA40 UnloadModelAnimations
        750  2ED 00059830 UnloadMusicStream
        751  2EE 000983C0 UnloadRandomSequence
        752  2EF 0011DFE0 UnloadRenderTexture
        753  2F0 00096B80 UnloadShader
        754  2F1 00057330 UnloadSound
        755  2F2 00057340 UnloadSoundAlias
        756  2F3 0011DF60 UnloadTexture
        757  2F4 000FD540 UnloadUTF8
        758  2F5 00096910 UnloadVrStereoConfig
        759  2F6 00057220 UnloadWave
        760  2F7 000585A0 UnloadWaveSamples
        761  2F8 0005AE90 UpdateAudioStream
        762  2F9 0008A310 UpdateCamera
        763  2FA 0008B480 UpdateCameraPro
        764  2FB 000C7BF0 UpdateMeshBuffer
        765  2FC 000CD640 UpdateModelAnimation
        766  2FD 000CCB70 UpdateModelAnimationBones
        767  2FE 0005A490 UpdateMusicStream
        768  2FF 00057460 UpdateSound
        769  300 0011E010 UpdateTexture
        770  301 0011E050 UpdateTextureRec
        771  302 000C6C50 UploadMesh
        772  303 0009B7A0 Vector2Add
        773  304 0009B7D0 Vector2AddValue
        774  305 0009B940 Vector2Angle
        775  306 0009BDE0 Vector2Clamp
        776  307 0009BEA0 Vector2ClampValue
        777  308 0009B8D0 Vector2Distance
        778  309 0009B910 Vector2DistanceSqr
        779  30A 0009BA40 Vector2Divide
        780  30B 0009B8A0 Vector2DotProduct
        781  30C 0009BF10 Vector2Equals
        782  30D 0009BDB0 Vector2Invert
        783  30E 0009B860 Vector2Length
        784  30F 0009B880 Vector2LengthSqr
        785  310 0009BB40 Vector2Lerp
        786  311 0009B980 Vector2LineAngle
        787  312 0009BC40 Vector2Max
        788  313 0009BBE0 Vector2Min
        789  314 0009BD30 Vector2MoveTowards
        790  315 0009B9F0 Vector2Multiply
        791  316 0009BA20 Vector2Negate
        792  317 0009BA70 Vector2Normalize
        793  318 0009B790 Vector2One
        794  319 0009BB80 Vector2Reflect
        795  31A 0009BFC0 Vector2Refract
        796  31B 0009BCA0 Vector2Rotate
        797  31C 0009B9C0 Vector2Scale
        798  31D 0009B800 Vector2Subtract
        799  31E 0009B830 Vector2SubtractValue
        800  31F 0009BAD0 Vector2Transform
        801  320 0009B780 Vector2Zero
        802  321 0009C110 Vector3Add
        803  322 0009C140 Vector3AddValue
        804  323 0009C450 Vector3Angle
        805  324 0009CF20 Vector3Barycenter
        806  325 0009DBB0 Vector3Clamp
        807  326 0009DC40 Vector3ClampValue
        808  327 0009C210 Vector3CrossProduct
        809  328 0009CD50 Vector3CubicHermite
        810  329 0009C3D0 Vector3Distance
        811  32A 0009C410 Vector3DistanceSqr
        812  32B 0009C540 Vector3Divide
        813  32C 0009C3A0 Vector3DotProduct
        814  32D 0009DCC0 Vector3Equals
        815  32E 0009DB80 Vector3Invert
        816  32F 0009C340 Vector3Length
        817  330 0009C370 Vector3LengthSqr
        818  331 0009CD10 Vector3Lerp
        819  332 0009CED0 Vector3Max
        820  333 0009CE80 Vector3Min
        821  334 0009CC60 Vector3MoveTowards
        822  335 0009C1E0 Vector3Multiply
        823  336 0009C520 Vector3Negate
        824  337 0009C570 Vector3Normalize
        825  338 0009C0F0 Vector3One
        826  339 0009C6E0 Vector3OrthoNormalize
        827  33A 0009C260 Vector3Perpendicular
        828  33B 0009C5E0 Vector3Project
        829  33C 0009CE20 Vector3Reflect
        830  33D 0009DDB0 Vector3Refract
        831  33E 0009C650 Vector3Reject
        832  33F 0009CAC0 Vector3RotateByAxisAngle
        833  340 0009C910 Vector3RotateByQuaternion
        834  341 0009C1C0 Vector3Scale
        835  342 0009C160 Vector3Subtract
        836  343 0009C190 Vector3SubtractValue
        837  344 0009DB60 Vector3ToFloatV
        838  345 0009C870 Vector3Transform
        839  346 0009D0A0 Vector3Unproject
        840  347 0009C0D0 Vector3Zero
        841  348 0009DEE0 Vector4Add
        842  349 0009DF00 Vector4AddValue
        843  34A 0009E010 Vector4Distance
        844  34B 0009E060 Vector4DistanceSqr
        845  34C 0009E110 Vector4Divide
        846  34D 0009DFD0 Vector4DotProduct
        847  34E 0009E2C0 Vector4Equals
        848  34F 0009E2A0 Vector4Invert
        849  350 0009DF60 Vector4Length
        850  351 0009DFA0 Vector4LengthSqr
        851  352 0009E200 Vector4Lerp
        852  353 0009E1D0 Vector4Max
        853  354 0009E1A0 Vector4Min
        854  355 0009E220 Vector4MoveTowards
        855  356 0009E0D0 Vector4Multiply
        856  357 0009E0F0 Vector4Negate
        857  358 0009E130 Vector4Normalize
        858  359 0009DED0 Vector4One
        859  35A 0009E0B0 Vector4Scale
        860  35B 0009DF20 Vector4Subtract
        861  35C 0009DF40 Vector4SubtractValue
        862  35D 0009DEC0 Vector4Zero
        863  35E 00094920 WaitTime
        864  35F 000582E0 WaveCopy
        865  360 00058350 WaveCrop
        866  361 000580F0 WaveFormat
        867  362 0008F820 WindowShouldClose
        868  363 0009B6F0 Wrap
        869  364 0007C3D0 gladLoadGL
        870  365 00071460 gladLoadGLUserPtr
        871  366 001A0F60 glad_glAccumxOES
        872  367 001A0F68 glad_glActiveShaderProgram
        873  368 001A0F70 glad_glActiveTexture
        874  369 001A0F78 glad_glActiveTextureARB
        875  36A 001A0F80 glad_glAlphaFuncxOES
        876  36B 001A0F88 glad_glAttachObjectARB
        877  36C 001A0F90 glad_glAttachShader
        878  36D 001A0F98 glad_glBeginConditionalRender
        879  36E 001A0FA0 glad_glBeginQuery
        880  36F 001A0FA8 glad_glBeginQueryARB
        881  370 001A0FB0 glad_glBeginQueryIndexed
        882  371 001A0FB8 glad_glBeginTransformFeedback
        883  372 001A0FC0 glad_glBindAttribLocation
        884  373 001A0FC8 glad_glBindAttribLocationARB
        885  374 001A0FD0 glad_glBindBuffer
        886  375 001A0FD8 glad_glBindBufferARB
        887  376 001A0FE0 glad_glBindBufferBase
        888  377 001A0FE8 glad_glBindBufferRange
        889  378 001A0FF0 glad_glBindBuffersBase
        890  379 001A0FF8 glad_glBindBuffersRange
        891  37A 001A1000 glad_glBindFragDataLocation
        892  37B 001A1008 glad_glBindFragDataLocationIndexed
        893  37C 001A1010 glad_glBindFramebuffer
        894  37D 001A1018 glad_glBindFramebufferEXT
        895  37E 001A1020 glad_glBindImageTexture
        896  37F 001A1028 glad_glBindImageTextures
        897  380 001A1030 glad_glBindProgramARB
        898  381 001A1038 glad_glBindProgramPipeline
        899  382 001A1040 glad_glBindRenderbuffer
        900  383 001A1048 glad_glBindRenderbufferEXT
        901  384 001A1050 glad_glBindSampler
        902  385 001A1058 glad_glBindSamplers
        903  386 001A1060 glad_glBindTexture
        904  387 001A1068 glad_glBindTextureUnit
        905  388 001A1070 glad_glBindTextures
        906  389 001A1078 glad_glBindTransformFeedback
        907  38A 001A1080 glad_glBindVertexArray
        908  38B 001A1088 glad_glBindVertexBuffer
        909  38C 001A1090 glad_glBindVertexBuffers
        910  38D 001A1098 glad_glBitmapxOES
        911  38E 001A10A0 glad_glBlendColor
        912  38F 001A10A8 glad_glBlendColorxOES
        913  390 001A10B0 glad_glBlendEquation
        914  391 001A10B8 glad_glBlendEquationSeparate
        915  392 001A10C0 glad_glBlendEquationSeparatei
        916  393 001A10C8 glad_glBlendEquationSeparateiARB
        917  394 001A10D0 glad_glBlendEquationi
        918  395 001A10D8 glad_glBlendEquationiARB
        919  396 001A10E0 glad_glBlendFunc
        920  397 001A10E8 glad_glBlendFuncSeparate
        921  398 001A10F0 glad_glBlendFuncSeparatei
        922  399 001A10F8 glad_glBlendFuncSeparateiARB
        923  39A 001A1100 glad_glBlendFunci
        924  39B 001A1108 glad_glBlendFunciARB
        925  39C 001A1110 glad_glBlitFramebuffer
        926  39D 001A1118 glad_glBlitFramebufferEXT
        927  39E 001A1120 glad_glBlitNamedFramebuffer
        928  39F 001A1128 glad_glBufferData
        929  3A0 001A1130 glad_glBufferDataARB
        930  3A1 001A1138 glad_glBufferStorage
        931  3A2 001A1140 glad_glBufferSubData
        932  3A3 001A1148 glad_glBufferSubDataARB
        933  3A4 001A1150 glad_glCheckFramebufferStatus
        934  3A5 001A1158 glad_glCheckFramebufferStatusEXT
        935  3A6 001A1160 glad_glCheckNamedFramebufferStatus
        936  3A7 001A1168 glad_glClampColor
        937  3A8 001A1170 glad_glClampColorARB
        938  3A9 001A1178 glad_glClear
        939  3AA 001A1180 glad_glClearAccumxOES
        940  3AB 001A1188 glad_glClearBufferData
        941  3AC 001A1190 glad_glClearBufferSubData
        942  3AD 001A1198 glad_glClearBufferfi
        943  3AE 001A11A0 glad_glClearBufferfv
        944  3AF 001A11A8 glad_glClearBufferiv
        945  3B0 001A11B0 glad_glClearBufferuiv
        946  3B1 001A11B8 glad_glClearColor
        947  3B2 001A11C0 glad_glClearColorxOES
        948  3B3 001A11C8 glad_glClearDepth
        949  3B4 001A11D0 glad_glClearDepthf
        950  3B5 001A11D8 glad_glClearDepthxOES
        951  3B6 001A11E0 glad_glClearNamedBufferData
        952  3B7 001A11E8 glad_glClearNamedBufferSubData
        953  3B8 001A11F0 glad_glClearNamedFramebufferfi
        954  3B9 001A11F8 glad_glClearNamedFramebufferfv
        955  3BA 001A1200 glad_glClearNamedFramebufferiv
        956  3BB 001A1208 glad_glClearNamedFramebufferuiv
        957  3BC 001A1210 glad_glClearStencil
        958  3BD 001A1218 glad_glClearTexImage
        959  3BE 001A1220 glad_glClearTexSubImage
        960  3BF 001A1228 glad_glClientActiveTextureARB
        961  3C0 001A1230 glad_glClientWaitSync
        962  3C1 001A1238 glad_glClipPlanexOES
        963  3C2 001A1240 glad_glColor3xOES
        964  3C3 001A1248 glad_glColor3xvOES
        965  3C4 001A1250 glad_glColor4xOES
        966  3C5 001A1258 glad_glColor4xvOES
        967  3C6 001A1260 glad_glColorMask
        968  3C7 001A1268 glad_glColorMaski
        969  3C8 001A1270 glad_glCompileShader
        970  3C9 001A1278 glad_glCompileShaderARB
        971  3CA 001A1280 glad_glCompileShaderIncludeARB
        972  3CB 001A1288 glad_glCompressedTexImage1D
        973  3CC 001A1290 glad_glCompressedTexImage1DARB
        974  3CD 001A1298 glad_glCompressedTexImage2D
        975  3CE 001A12A0 glad_glCompressedTexImage2DARB
        976  3CF 001A12A8 glad_glCompressedTexImage3D
        977  3D0 001A12B0 glad_glCompressedTexImage3DARB
        978  3D1 001A12B8 glad_glCompressedTexSubImage1D
        979  3D2 001A12C0 glad_glCompressedTexSubImage1DARB
        980  3D3 001A12C8 glad_glCompressedTexSubImage2D
        981  3D4 001A12D0 glad_glCompressedTexSubImage2DARB
        982  3D5 001A12D8 glad_glCompressedTexSubImage3D
        983  3D6 001A12E0 glad_glCompressedTexSubImage3DARB
        984  3D7 001A12E8 glad_glCompressedTextureSubImage1D
        985  3D8 001A12F0 glad_glCompressedTextureSubImage2D
        986  3D9 001A12F8 glad_glCompressedTextureSubImage3D
        987  3DA 001A1300 glad_glConvolutionParameterxOES
        988  3DB 001A1308 glad_glConvolutionParameterxvOES
        989  3DC 001A1310 glad_glCopyBufferSubData
        990  3DD 001A1318 glad_glCopyImageSubData
        991  3DE 001A1320 glad_glCopyNamedBufferSubData
        992  3DF 001A1328 glad_glCopyTexImage1D
        993  3E0 001A1330 glad_glCopyTexImage2D
        994  3E1 001A1338 glad_glCopyTexSubImage1D
        995  3E2 001A1340 glad_glCopyTexSubImage2D
        996  3E3 001A1348 glad_glCopyTexSubImage3D
        997  3E4 001A1350 glad_glCopyTextureSubImage1D
        998  3E5 001A1358 glad_glCopyTextureSubImage2D
        999  3E6 001A1360 glad_glCopyTextureSubImage3D
       1000  3E7 001A1368 glad_glCreateBuffers
       1001  3E8 001A1370 glad_glCreateFramebuffers
       1002  3E9 001A1378 glad_glCreateProgram
       1003  3EA 001A1380 glad_glCreateProgramObjectARB
       1004  3EB 001A1388 glad_glCreateProgramPipelines
       1005  3EC 001A1390 glad_glCreateQueries
       1006  3ED 001A1398 glad_glCreateRenderbuffers
       1007  3EE 001A13A0 glad_glCreateSamplers
       1008  3EF 001A13A8 glad_glCreateShader
       1009  3F0 001A13B0 glad_glCreateShaderObjectARB
       1010  3F1 001A13B8 glad_glCreateShaderProgramv
       1011  3F2 001A13C0 glad_glCreateTextures
       1012  3F3 001A13C8 glad_glCreateTransformFeedbacks
       1013  3F4 001A13D0 glad_glCreateVertexArrays
       1014  3F5 001A13D8 glad_glCullFace
       1015  3F6 001A13E0 glad_glDebugMessageCallback
       1016  3F7 001A13E8 glad_glDebugMessageCallbackARB
       1017  3F8 001A13F0 glad_glDebugMessageControl
       1018  3F9 001A13F8 glad_glDebugMessageControlARB
       1019  3FA 001A1400 glad_glDebugMessageInsert
       1020  3FB 001A1408 glad_glDebugMessageInsertARB
       1021  3FC 001A1410 glad_glDeleteBuffers
       1022  3FD 001A1418 glad_glDeleteBuffersARB
       1023  3FE 001A1420 glad_glDeleteFramebuffers
       1024  3FF 001A1428 glad_glDeleteFramebuffersEXT
       1025  400 001A1430 glad_glDeleteNamedStringARB
       1026  401 001A1438 glad_glDeleteObjectARB
       1027  402 001A1440 glad_glDeleteProgram
       1028  403 001A1448 glad_glDeleteProgramPipelines
       1029  404 001A1450 glad_glDeleteProgramsARB
       1030  405 001A1458 glad_glDeleteQueries
       1031  406 001A1460 glad_glDeleteQueriesARB
       1032  407 001A1468 glad_glDeleteRenderbuffers
       1033  408 001A1470 glad_glDeleteRenderbuffersEXT
       1034  409 001A1478 glad_glDeleteSamplers
       1035  40A 001A1480 glad_glDeleteShader
       1036  40B 001A1488 glad_glDeleteSync
       1037  40C 001A1490 glad_glDeleteTextures
       1038  40D 001A1498 glad_glDeleteTransformFeedbacks
       1039  40E 001A14A0 glad_glDeleteVertexArrays
       1040  40F 001A14A8 glad_glDepthFunc
       1041  410 001A14B0 glad_glDepthMask
       1042  411 001A14B8 glad_glDepthRange
       1043  412 001A14C0 glad_glDepthRangeArrayv
       1044  413 001A14C8 glad_glDepthRangeIndexed
       1045  414 001A14D0 glad_glDepthRangef
       1046  415 001A14D8 glad_glDepthRangexOES
       1047  416 001A14E0 glad_glDetachObjectARB
       1048  417 001A14E8 glad_glDetachShader
       1049  418 001A14F0 glad_glDisable
       1050  419 001A14F8 glad_glDisableVertexArrayAttrib
       1051  41A 001A1500 glad_glDisableVertexAttribArray
       1052  41B 001A1508 glad_glDisableVertexAttribArrayARB
       1053  41C 001A1510 glad_glDisablei
       1054  41D 001A1518 glad_glDispatchCompute
       1055  41E 001A1520 glad_glDispatchComputeGroupSizeARB
       1056  41F 001A1528 glad_glDispatchComputeIndirect
       1057  420 001A1530 glad_glDrawArrays
       1058  421 001A1538 glad_glDrawArraysIndirect
       1059  422 001A1540 glad_glDrawArraysInstanced
       1060  423 001A1548 glad_glDrawArraysInstancedARB
       1061  424 001A1550 glad_glDrawArraysInstancedBaseInstance
       1062  425 001A1558 glad_glDrawArraysInstancedEXT
       1063  426 001A1560 glad_glDrawBuffer
       1064  427 001A1568 glad_glDrawBuffers
       1065  428 001A1570 glad_glDrawBuffersARB
       1066  429 001A1578 glad_glDrawElements
       1067  42A 001A1580 glad_glDrawElementsBaseVertex
       1068  42B 001A1588 glad_glDrawElementsIndirect
       1069  42C 001A1590 glad_glDrawElementsInstanced
       1070  42D 001A1598 glad_glDrawElementsInstancedARB
       1071  42E 001A15A0 glad_glDrawElementsInstancedBaseInstance
       1072  42F 001A15A8 glad_glDrawElementsInstancedBaseVertex
       1073  430 001A15B0 glad_glDrawElementsInstancedBaseVertexBaseInstance
       1074  431 001A15B8 glad_glDrawElementsInstancedEXT
       1075  432 001A15C0 glad_glDrawRangeElements
       1076  433 001A15C8 glad_glDrawRangeElementsBaseVertex
       1077  434 001A15D0 glad_glDrawTransformFeedback
       1078  435 001A15D8 glad_glDrawTransformFeedbackInstanced
       1079  436 001A15E0 glad_glDrawTransformFeedbackStream
       1080  437 001A15E8 glad_glDrawTransformFeedbackStreamInstanced
       1081  438 001A15F0 glad_glEnable
       1082  439 001A15F8 glad_glEnableVertexArrayAttrib
       1083  43A 001A1600 glad_glEnableVertexAttribArray
       1084  43B 001A1608 glad_glEnableVertexAttribArrayARB
       1085  43C 001A1610 glad_glEnablei
       1086  43D 001A1618 glad_glEndConditionalRender
       1087  43E 001A1620 glad_glEndQuery
       1088  43F 001A1628 glad_glEndQueryARB
       1089  440 001A1630 glad_glEndQueryIndexed
       1090  441 001A1638 glad_glEndTransformFeedback
       1091  442 001A1640 glad_glEvalCoord1xOES
       1092  443 001A1648 glad_glEvalCoord1xvOES
       1093  444 001A1650 glad_glEvalCoord2xOES
       1094  445 001A1658 glad_glEvalCoord2xvOES
       1095  446 001A1660 glad_glEvaluateDepthValuesARB
       1096  447 001A1668 glad_glFeedbackBufferxOES
       1097  448 001A1670 glad_glFenceSync
       1098  449 001A1678 glad_glFinish
       1099  44A 001A1680 glad_glFlush
       1100  44B 001A1688 glad_glFlushMappedBufferRange
       1101  44C 001A1690 glad_glFlushMappedNamedBufferRange
       1102  44D 001A1698 glad_glFogCoordPointerEXT
       1103  44E 001A16A0 glad_glFogCoorddEXT
       1104  44F 001A16A8 glad_glFogCoorddvEXT
       1105  450 001A16B0 glad_glFogCoordfEXT
       1106  451 001A16B8 glad_glFogCoordfvEXT
       1107  452 001A16C0 glad_glFogxOES
       1108  453 001A16C8 glad_glFogxvOES
       1109  454 001A16D0 glad_glFramebufferParameteri
       1110  455 001A16D8 glad_glFramebufferRenderbuffer
       1111  456 001A16E0 glad_glFramebufferRenderbufferEXT
       1112  457 001A16E8 glad_glFramebufferSampleLocationsfvARB
       1113  458 001A16F0 glad_glFramebufferTexture
       1114  459 001A16F8 glad_glFramebufferTexture1D
       1115  45A 001A1700 glad_glFramebufferTexture1DEXT
       1116  45B 001A1708 glad_glFramebufferTexture2D
       1117  45C 001A1710 glad_glFramebufferTexture2DEXT
       1118  45D 001A1718 glad_glFramebufferTexture3D
       1119  45E 001A1720 glad_glFramebufferTexture3DEXT
       1120  45F 001A1728 glad_glFramebufferTextureARB
       1121  460 001A1730 glad_glFramebufferTextureFaceARB
       1122  461 001A1738 glad_glFramebufferTextureLayer
       1123  462 001A1740 glad_glFramebufferTextureLayerARB
       1124  463 001A1748 glad_glFrontFace
       1125  464 001A1750 glad_glFrustumxOES
       1126  465 001A1758 glad_glGenBuffers
       1127  466 001A1760 glad_glGenBuffersARB
       1128  467 001A1768 glad_glGenFramebuffers
       1129  468 001A1770 glad_glGenFramebuffersEXT
       1130  469 001A1778 glad_glGenProgramPipelines
       1131  46A 001A1780 glad_glGenProgramsARB
       1132  46B 001A1788 glad_glGenQueries
       1133  46C 001A1790 glad_glGenQueriesARB
       1134  46D 001A1798 glad_glGenRenderbuffers
       1135  46E 001A17A0 glad_glGenRenderbuffersEXT
       1136  46F 001A17A8 glad_glGenSamplers
       1137  470 001A17B0 glad_glGenTextures
       1138  471 001A17B8 glad_glGenTransformFeedbacks
       1139  472 001A17C0 glad_glGenVertexArrays
       1140  473 001A17C8 glad_glGenerateMipmap
       1141  474 001A17D0 glad_glGenerateMipmapEXT
       1142  475 001A17D8 glad_glGenerateTextureMipmap
       1143  476 001A17E0 glad_glGetActiveAtomicCounterBufferiv
       1144  477 001A17E8 glad_glGetActiveAttrib
       1145  478 001A17F0 glad_glGetActiveAttribARB
       1146  479 001A17F8 glad_glGetActiveSubroutineName
       1147  47A 001A1800 glad_glGetActiveSubroutineUniformName
       1148  47B 001A1808 glad_glGetActiveSubroutineUniformiv
       1149  47C 001A1810 glad_glGetActiveUniform
       1150  47D 001A1818 glad_glGetActiveUniformARB
       1151  47E 001A1820 glad_glGetActiveUniformBlockName
       1152  47F 001A1828 glad_glGetActiveUniformBlockiv
       1153  480 001A1830 glad_glGetActiveUniformName
       1154  481 001A1838 glad_glGetActiveUniformsiv
       1155  482 001A1840 glad_glGetAttachedObjectsARB
       1156  483 001A1848 glad_glGetAttachedShaders
       1157  484 001A1850 glad_glGetAttribLocation
       1158  485 001A1858 glad_glGetAttribLocationARB
       1159  486 001A1860 glad_glGetBooleani_v
       1160  487 001A1868 glad_glGetBooleanv
       1161  488 001A1870 glad_glGetBufferParameteri64v
       1162  489 001A1878 glad_glGetBufferParameteriv
       1163  48A 001A1880 glad_glGetBufferParameterivARB
       1164  48B 001A1888 glad_glGetBufferPointerv
       1165  48C 001A1890 glad_glGetBufferPointervARB
       1166  48D 001A1898 glad_glGetBufferSubData
       1167  48E 001A18A0 glad_glGetBufferSubDataARB
       1168  48F 001A18A8 glad_glGetClipPlanexOES
       1169  490 001A18B0 glad_glGetCompressedTexImage
       1170  491 001A18B8 glad_glGetCompressedTexImageARB
       1171  492 001A18C0 glad_glGetCompressedTextureImage
       1172  493 001A18C8 glad_glGetCompressedTextureSubImage
       1173  494 001A18D0 glad_glGetConvolutionParameterxvOES
       1174  495 001A18D8 glad_glGetDebugMessageLog
       1175  496 001A18E0 glad_glGetDebugMessageLogARB
       1176  497 001A18E8 glad_glGetDoublei_v
       1177  498 001A18F0 glad_glGetDoublev
